default,id,label,dataset_url,dataset_na_value,layer_url,layer_geometry,layer_type,layer_object,group_by,group_weight,default_variable
TRUE,huc6,HUC6,huc6.csv,,huc6.json,polygon,topojson,huc6,huc6,area_km2,elevation
FALSE,huc8,HUC8,huc8.csv,,huc8.json,polygon,topojson,huc8,huc8,area_km2,elevation
FALSE,huc10,HUC10,huc10.csv,,huc10.json,polygon,topojson,huc10,huc10,area_km2,elevation
FALSE,huc12-01,HUC12 (Region 01),huc12-01.csv,,huc12-01.json,polygon,topojson,huc12-01,huc12,area_km2,elevation
FALSE,huc12-02,HUC12 (Region 02),huc12-02.csv,,huc12-02.json,polygon,topojson,huc12-02,huc12,area_km2,elevation
FALSE,huc12-03,HUC12 (Region 03),huc12-03.csv,,huc12-03.json,polygon,topojson,huc12-03,huc12,area_km2,elevation
FALSE,huc12-04,HUC12 (Region 04),huc12-04.csv,,huc12-04.json,polygon,topojson,huc12-04,huc12,area_km2,elevation
FALSE,huc12-05,HUC12 (Region 05),huc12-05.csv,,huc12-05.json,polygon,topojson,huc12-05,huc12,area_km2,elevation
FALSE,huc12-06,HUC12 (Region 06),huc12-06.csv,,huc12-06.json,polygon,topojson,huc12-06,huc12,area_km2,elevation
